feature,mean_abs_shap
glucosa,3.0104613
hba1c,2.4913669
pad,0.26786387
leucocitos,0.12570661
sintoma_cefalea,0.09569652
pas,0.065865144
sintoma_poliuria,0.011305543
tiempo_enfermedad,0.004410777
edad,0.0009366164
imc,0.000788135
colesterol,0.000593744
ocupacion,0.0
area,0.0
sexo,0.0
temp,0.0
spo2,0.0
creatinina,0.0
tabaquismo,0.0
alcoholismo,0.0
distrito,0.0
fr,0.0
fc,0.0
ant_familiar_hta,0.0
ant_familiar_dm,0.0
sedentarismo,0.0
sintoma_diarrea,0.0
sintoma_dolor_abdominal,0.0
sintoma_heridas_lentas,0.0
sintoma_dificultad_respiratoria,0.0
sintoma_deshidratacion,0.0
sintoma_tos,0.0
sintoma_polidipsia,0.0
sintoma_perdida_apetito,0.0
sintoma_vision_borrosa,0.0
sintoma_fiebre,0.0
sintoma_perdida_peso,0.0
sintoma_asintomatico,0.0
sintoma_polifagia,0.0
sintoma_nauseas,0.0
sintoma_escalofrios,0.0
sintoma_infecciones_frecuentes,0.0
sintoma_tinnitus,0.0
sintoma_debilidad,0.0
sintoma_palpitaciones,0.0
sintoma_vomitos,0.0
sintoma_malestar_general,0.0
sintoma_mareo,0.0
sintoma_dolor_garganta,0.0
sintoma_epistaxis,0.0
sintoma_congestion_nasal,0.0
sintoma_fatiga,0.0
sintoma_dolor_pecho,0.0
presion_pulso,0.0
imc_categoria,0.0
